month,BRBG,thick,thin
2019-08,0.0,0.0,0.0
2019-09,553.25999999996,200.28999999999942,1898.8999999999505
2019-10,1826.779999999884,1159.9599999999562,3569.7800000000593
2019-11,2466.5699999999265,1860.979999999887,3719.159999999997
2019-12,2711.540000000283,2355.0100000000116,3765.4699999999552
2020-01,2662.8700000001168,2046.0899999998683,3882.060000000036
2020-02,1715.3599999998783,821.5699999999431,3888.730000000017
2020-03,1916.1099999999794,221.02000000000092,4165.970000000079
2020-04,2921.2600000001758,454.9899999999719,3590.5300000001375
2020-05,2257.2000000000007,459.3399999999535,4561.870000000014
2020-06,1421.939999999891,142.19000000000332,4124.040000000122
2020-07,1058.7999999999392,132.34000000000307,4426.030000000192
2020-08,989.219999999958,126.60000000000227,4091.6500000001442
2020-09,1278.379999999951,306.8000000000003,4498.850000000125
2020-10,2606.1099999999924,1369.5699999999385,4389.750000000071
2020-11,3047.110000000257,1950.1499999998753,4700.770000000079
2020-12,3210.3800000002675,2420.8100000000763,4387.830000000068
2021-01,3261.940000000206,2256.4600000000128,3935.0100000000516
2021-02,2068.9399999999023,888.8099999999479,4189.87
